Pair,Exe1,Time1,Exe2,Time2
[./doitgen,./gramschmidt],./doitgen,15.91,./gramschmidt,117.71
[./doitgen,./heat-3d],./heat-3d,144.44,./doitgen,17.73
[./doitgen,./jacobi-1d],./jacobi-1d,0.07,./doitgen,16.97
[./doitgen,./lu],./doitgen,17.78,./lu,273.20
[./doitgen,./ludcmp],./doitgen,16.11,./ludcmp,276.64
[./doitgen,./mvt],./doitgen,17.66,./mvt,0.67
[./doitgen,./nussinov],./doitgen,15.22,./nussinov,190.60
[./doitgen,./symm],./doitgen,17.97,./symm,65.83
[./doitgen,./syr2k],./doitgen,15.83,./syr2k,231.85
[./doitgen,./syrk],./doitgen,15.60,./syrk,38.03
[./doitgen,./trisolv],./doitgen,15.79,./trisolv,0.22
[./doitgen,./trmm],./trmm,40.32,./doitgen,17.56
[./durbin,./fdtd-2d],./durbin,0.08,./fdtd-2d,89.88
[./durbin,./floyd-warshall],./durbin,0.08,./floyd-warshall,158.71
[./durbin,./gemm],./durbin,0.08,./gemm,45.68
[./durbin,./gemver],./durbin,0.08,./gemver,0.90
[./durbin,./gesummv],./durbin,0.08,./gesummv,0.24
[./durbin,./gramschmidt],./durbin,0.08,./gramschmidt,109.81
[./durbin,./heat-3d],./heat-3d,136.44,./durbin,0.08
[./durbin,./jacobi-1d],./jacobi-1d,0.07,./durbin,0.08
[./durbin,./lu],./durbin,0.08,./lu,262.55
[./durbin,./ludcmp],./durbin,0.08,./ludcmp,255.28
[./durbin,./mvt],./durbin,0.08,./mvt,0.66
[./durbin,./nussinov],./durbin,0.08,./nussinov,174.91
[./durbin,./symm],./durbin,0.08,./symm,66.78
[./durbin,./syr2k],./durbin,0.08,./syr2k,204.09
[./durbin,./syrk],./durbin,0.08,./syrk,36.40
[./durbin,./trisolv],./durbin,0.08,./trisolv,0.22
[./durbin,./trmm],./durbin,0.08,./trmm,39.53
[./fdtd-2d,./floyd-warshall],./fdtd-2d,103.55,./floyd-warshall,189.47
[./fdtd-2d,./gemm],./fdtd-2d,91.28,./gemm,52.99
[./fdtd-2d,./gemver],./fdtd-2d,98.46,./gemver,1.09
[./fdtd-2d,./gesummv],./fdtd-2d,100.89,./gesummv,0.27
[./fdtd-2d,./gramschmidt],./fdtd-2d,105.81,./gramschmidt,141.78
[./fdtd-2d,./heat-3d],./fdtd-2d,107.31,./heat-3d,171.11
[./fdtd-2d,./jacobi-1d],./jacobi-1d,0.07,./fdtd-2d,89.25
[./fdtd-2d,./lu],./fdtd-2d,104.73,./lu,349.46
[./fdtd-2d,./ludcmp],./fdtd-2d,105.48,./ludcmp,337.77
[./fdtd-2d,./mvt],./fdtd-2d,97.82,./mvt,0.82
[./fdtd-2d,./nussinov],./fdtd-2d,89.81,./nussinov,210.16
[./fdtd-2d,./symm],./fdtd-2d,105.66,./symm,85.47
[./fdtd-2d,./syr2k],./fdtd-2d,97.41,./syr2k,274.50
[./fdtd-2d,./syrk],./fdtd-2d,97.16,./syrk,42.08
[./fdtd-2d,./trisolv],./fdtd-2d,97.21,./trisolv,0.24
[./fdtd-2d,./trmm],./fdtd-2d,98.22,./trmm,48.91
[./floyd-warshall,./gemm],./gemm,52.25,./floyd-warshall,162.20
[./floyd-warshall,./gemver],./floyd-warshall,192.78,./gemver,1.13
[./floyd-warshall,./gesummv],./floyd-warshall,176.90,./gesummv,0.27
[./floyd-warshall,./gramschmidt],./floyd-warshall,179.20,./gramschmidt,133.91
[./floyd-warshall,./heat-3d],./heat-3d,153.30,./floyd-warshall,179.29
[./floyd-warshall,./jacobi-1d],./jacobi-1d,0.07,./floyd-warshall,158.41
[./floyd-warshall,./lu],./lu,322.56,./floyd-warshall,177.96
[./floyd-warshall,./ludcmp],./floyd-warshall,185.98,./ludcmp,295.19
[./floyd-warshall,./mvt],./floyd-warshall,171.84,./mvt,0.78
[./floyd-warshall,./nussinov],./floyd-warshall,160.64,./nussinov,205.33
[./floyd-warshall,./symm],./floyd-warshall,185.98,./symm,77.78
[./floyd-warshall,./syr2k],./floyd-warshall,174.18,./syr2k,239.20
[./floyd-warshall,./syrk],./syrk,37.73,./floyd-warshall,175.61
[./floyd-warshall,./trisolv],./floyd-warshall,171.96,./trisolv,0.24
